stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,48,0,0,0,0,0,0,0,0,0,16,0,0,0
72hpf,7.61,4.23,0,6.76,14.94,4.23,0,0,0.28,0,0,0,0.56,0,2.82,15.78,1.97,24.52,0,0.56,0.56,0.28,860.76,43.69,1.69,0.85,0,16.07,0.56,0.28,4.51,89.91,62.57,5.36,0,0,0
21Day,5.18,1.11,0.74,13.32,12.21,10.36,1.85,0.37,0.37,0,0.74,0.37,1.48,1.11,0.37,5.92,2.22,19.61,0,0,0.74,0.37,101.38,9.99,0.74,1.11,0,5.92,7.77,0.74,1.85,211.26,272.31,0.74,0,0,3.33
3Month,0,0.94,0,0.62,1.35,0,0.1,0.31,0.21,0,0.94,0.31,0,0.31,0,0.42,0.21,1.04,0.21,0,0,0,0.73,0,0.73,0,0,0.42,0.21,10.4,0,2.81,0.31,0,0,0.52,0.21
22Month,0,0.14,0.14,0.41,0.82,0,0,0.27,1.78,0.27,4.78,0.27,0.41,0.41,0.14,0.27,0.96,0.96,0.27,0.41,0.14,0,0.41,0,1.5,0.14,0.68,0,0,4.92,0.68,82.95,0,0,0.14,0,0.14
