stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,1,9,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.56,0.85,0,0,0,0,0,0,0,0,0.56,7.89,0.28,4.79,0,0,0.28,0,24.24,0.85,0.28,0,6.76,0,0,0.56,0.56,0
21Day,0.74,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,7.4,0,0,0.37,0,7.4,0.37,1.11,0,1.11,0.74,0,0,0,0
3Month,0,2.29,0.1,1.04,0,0,0.1,0.31,0.1,1.66,0.21,0,1.25,0.52,0.1,1.04,9.57,3.74,0,1.56,0.1,0.1,0.1,1.25,0.1,0,0.21,0.42,0,0,0
22Month,0,4.1,0,0.41,0,0,0.14,0.55,0,5.88,0.27,0.14,0.68,0.14,0.27,0.55,4.78,0.41,0.14,0.27,0,0,0,0.27,0.27,0,0.27,0.14,0,0,0.14
