stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,22.55,0.56,0,0,0,0,0,0.28,0,0.28,0,0,0,9.58,2.25,0.28,0.56,0,0,0,0,0
21Day,0.37,0,0.74,2.96,0.37,0,0,0.37,0,0,0.74,0,0.37,0,0.37,0,7.03,0.74,0,0,0.37,0.37,0,0,0
3Month,0,0.1,1.66,2.5,0,0.42,0.83,0.31,0.42,0.21,0.31,0.1,0.1,0,6.45,0.94,0.21,0.31,0.42,0,0.42,9.67,0.31,6.97,0.1
22Month,0,0,0.41,0.27,0,0.27,1.5,0.14,0,0,0,0.14,0.14,0.14,4.51,0,0,0,0.27,0,0,1.09,0,0,0
