stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.74,0,0,0,3.7,0,0,1.11,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0,1.11
3Month,0.1,1.04,0.21,0.21,7.8,0,0.73,1.66,0.62,0.21,0.42,3.02,0.21,0.21,0.1,0.31,0,0,0.21,0.1,0.21,0,0,0.1,0.1,4.26
22Month,0.14,0.14,0.14,0,5.06,0.27,3.83,1.78,0.41,0.41,0.14,4.78,0,0,0.14,0,0.14,0.14,0,0,0,0.14,0,0,0,0.82
