stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
72hpf,0,0,0,0,0.85,0.28,0
21Day,0,0,0,0,0.37,0,0
3Month,0,0,0,0.1,0.1,0,0.1
22Month,0.14,1.09,0.14,0,0,0,0
