stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,T_cell
21Day,0,1.85,0.74,0.37,0.37,27.75,0,0,0.74,0.37,0.37,0,0.37,0
3Month,0.1,1.87,0,0.1,0,0,0.1,0,0,0,0,0.42,0,0
22Month,0,0.14,0,0.55,0.14,0,0,0.14,0,0,0,5.19,0,0.14
