stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Radial_glia
72hpf,0,0,0,0,0.28,0,0,0.56,0
3Month,0.21,0,0.73,0,0,0.1,0,0,0
22Month,0,0.41,4.37,0.41,0,0,0.27,0,0.14
