stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
72hpf,0,0.85,0.28,0,0,0,0,0,0,0,0,0.56,0.28,1.13,0,0,0,0.56,0.28,0,0.56,0,0,0,0,0
21Day,0.37,0,8.14,0.74,0.37,0,0.37,0.37,0,0,0,2.96,0,4.81,0,0,0.74,0,0.37,0,1.11,0.37,0,0,0,1.11
3Month,0,0.21,17.16,0,0.1,0.31,0.52,1.25,0.42,0.52,0.73,14.15,1.77,1.46,0.1,1.66,0.1,0,0.1,0,0,0.31,1.25,0.21,0.31,0.62
22Month,0,0.14,2.87,0,0.14,0,2.05,3.69,0.14,0.41,0.14,2.87,4.65,2.05,0.41,0,0,0,0.55,0.14,0,0,0,0,0,0
