stage,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0.28,0,0,0
21Day,0,0,0.74,0.74,0,0,0,0
3Month,0.31,0.31,0,0,0,0.1,0.1,1.14
