stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,1,0,0,0,0,0,1,1,1,0,1,8,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0.28,0,0.28,0,0.28,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0.37,0,0,0,0,1.11,1.48,0.37,0,0,0,0.37,0,0
3Month,0,0.1,0.73,0,0,0.1,0,0,0.1,0.31,0.31,0,0,0.31,0,0,0,0,0.31,0,1.04,0.1
22Month,0,0.41,0.55,0.14,0,0,0.55,0.27,1.23,2.87,0,0.14,0.27,0.14,0,0,0.27,0,0.55,0,0,0.14
