stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,1.13,0,0,0,1.97,0,0,0,0,0,0
21Day,0.74,0.37,0,0,0,0,0,0,0,0,0.37,0,3.33,0,1.48,0,0.74,0.37,0,0,0,0.37,0
3Month,3.95,1.87,0.1,0.1,0.21,0,0.52,6.55,0.1,0.1,0.1,0.1,1.56,0.1,0.42,0,0.31,0,0,0,0.1,7.39,0.1
22Month,9.43,4.92,0,0.14,0.14,2.87,0.96,1.09,0,0,0.27,0.27,1.91,0.14,0.27,0,0,0,0.14,0.27,0,1.23,0.27
