stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.23,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,10.99,0,0.28,0,0,0.28,0.28,0,0,0,0.28,0,0,0,0
21Day,4.81,0,0,7.77,0.74,0,0,0.37,0,0,0,0.74,0,0.37,2.22,0.74,0.37,0,0,0,0.74,0,0,0,0.37,0,0,0,0.37
3Month,0.52,0,0,16.95,0,0.31,0.73,1.66,0,1.56,8.84,0.73,3.33,0.62,3.33,2.5,0.62,0,0.21,0.31,0,0.1,0.21,0,0,1.25,0.1,0.1,2.29
22Month,0,0.41,0.14,2.32,0,0,0.14,3.14,0.14,8.2,2.19,0.68,2.46,0,0.41,3.42,1.78,0.41,0,0,0,0,0,0.14,0,0.14,0,0,0.27
