stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,2,0,0,0,0
72hpf,0.56,0.28,0.28,0,0,0,0.28,1.41,14.94,2.54,0,0,0,0
21Day,0,1.11,0,0,0,1.85,0,3.7,6.66,1.11,1.11,0.37,0,0.74
3Month,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
