stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0.37,0.74,0,1.48,0,0.74,0,0,0,0,0,0,0.37,0.74,0,0.74
3Month,0.31,1.56,0,0,0.1,0.21,0,1.35,0.52,0,0.21,0.1,0.31,0.62,0,8.32,1.04,0,0,0.21,0,0.1,0.1,0.73,0,0,0.62,0.21
22Month,0.82,1.64,0,0.14,0,0.41,0.14,6.97,0.14,0.14,1.23,0,0.68,0.96,0.14,3.28,0.14,0,0,0.41,0.14,0,0,0,0,0,0,0.55
