stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,3,27,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0.56,3.1,0,1.13,0,0,0,0,12.68,23.96,0,1.41,1.69,0.28,0,0,16.35,0.28,0,0,0
21Day,0,0,0.74,1.48,0,0.37,0,0,0,0,0,0.37,0,0.37,1.11,0.37,0.74,0,0,0.74,0,4.81,5.18,0,5.92,0,0,0,0,5.55,0,0,0,0.37
3Month,0,0.1,0.1,11.55,0,0,0.31,0.1,1.14,4.68,1.56,0.31,2.39,1.46,4.16,2.5,1.77,0.31,0.1,0.31,0.94,0.62,0,0.62,0.73,0.42,0.21,0.21,1.98,0,0,0.83,11.23,1.14
22Month,0,0,0,0.82,0,0,0,0,0.14,1.23,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0
