stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,1.69,0.56,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0.37
3Month,0.1,0.1,3.54,0,0.52,1.04,0,2.7,0.62,0.1,1.46,0.42,0.73,0.83,1.25,0.21,0.1,0.1,0.42,0.1,0.52,0,0.21,0.52,0,0.21,0.1,1.46
22Month,0,0.27,1.09,0,0.14,1.37,0.14,4.1,0,0.14,1.37,0.14,0.27,0.82,1.23,0,0,0,0,0,0.14,0,0,0.14,0,0.27,0,0.27
