stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,7,0,0,1,0,0,0,2,0,0,0,0,0,4,1,11,0,0,0,3,76,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.13,0,0,0,2.25,3.38,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,0,1.48,1.11,0,0.74,0,0,0,0,0,0,0,0,0.74,0,0,1.48,0,0,0.37,1.11,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0,0,0.83,0,0,0.1,0.21,0,0,0,18.1,0.21,0.1,0.94,0,0.1,0.21,0.1,0.1,0,0,0.1,0.1,0,0,0.94,2.29,0,0,0.21,0.83,0.21
22Month,0,0.41,0.14,0.55,0,0.14,0,0,1.09,0.27,0,9.84,0,0.27,0.96,0,0.14,0.41,1.64,0.41,0.82,0.41,0,0,0.14,0,0.14,0.55,0,0,0,0,0
