stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,1.97,1.41,0,0,0.28,0,0,1.97,0.56,0,0,0
21Day,0.37,0,0,1.48,0,0,0,0,0,0,0,0,1.11,0,0.37,0.37,0,0,0,1.11,1.11,0,0,0.37,0,0,7.77,21.46,0,0,0.37
3Month,0.1,1.04,0.1,1.66,0.1,0.1,0.1,0.73,0,5.41,0.62,1.25,0.62,0.73,1.14,0.52,0.1,0,0.62,0.31,0,0.21,0.73,0.1,0.31,82.69,0.1,0,0.83,40.77,0.83
22Month,0,0.96,0.14,0.27,0,0,0,0.96,0.68,6.97,0.14,0.41,0,0,0.27,0,0.14,0.14,0,0,0,0.14,0.27,0,0.14,1.09,9.98,0,0,0.27,0
