stage,Immune.cell,Mesenchymal.cell,Neural.progenitor.cell,Pancreatic.cell,Primordial.germ.cell
24hpf,0,0,1,0,0
21Day,0,0.369986860264282,0,0.369986860264282,0
3Month,0.104017006644673,0,0,0,0.208034013289345
