stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,4.79,1.13,0,1.41,0,0,0,0,0,0,0,0.28,1.97,0.28,1.69,0.28,0.28,180.95,3.38,0,0.28,0,4.23,0,0,0.56,0,1.41,0,0,0
21Day,0,0.37,4.07,0,1.85,0.37,0,0,0,0,0.37,0.37,0,1.85,0.74,2.59,1.11,0,78.44,1.48,0,0,0,0.74,2.96,0.37,0.74,1.11,0,0,0,0
3Month,0.1,1.25,1.77,0.1,0,0,0.31,0,1.98,0.31,0,0.52,0,1.56,0.21,0.42,0,0,0.42,0,0,0.1,0,0.1,0,2.18,0,0,0,0.52,0.1,0.42
22Month,0.14,0.55,0.82,0,0,0,0.82,0.14,4.37,0,0.27,0.82,0,0.41,0.96,0.55,0,0,1.09,0,0.14,0.14,0.14,0,0,6.42,0.14,0,0,0,0,0.14
