stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0.56,0,0,0.28,9.02,1.69,0,0,0,0,0.28,0,0,0,0,1.13,0,0,0,0,0,0,0,0
21Day,1.11,0,0,11.84,1.85,0,1.48,0,0,0,0,0,1.11,21.09,0,0.74,7.4,34.04,8.14,0,0,1.48,0,1.48,0,0.37,0,0,1.11,1.11,0,0,0,0,0.37,0,33.3
3Month,0.52,1.25,0.31,16.85,0,1.14,0.52,0,1.04,4.26,0,7.07,29.44,7.18,2.6,2.08,3.85,182.13,7.91,0.62,0.1,1.14,0.73,0.31,0.1,0.52,0.42,0,1.66,2.39,0.31,1.77,0.21,0.21,6.03,1.14,110.88
22Month,0.27,1.64,0.27,17.76,0,1.64,1.23,0.14,0.27,15.44,0.14,8.06,42.63,14.35,1.5,0.55,1.64,207.71,3.28,0.14,0.55,0.82,0.14,0.41,0,0.55,0.82,0.27,0.41,0.55,0,0.96,0.27,0.27,0.68,0,52.88
