stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,2.25,0,0,0,0,0,0,0,0.56,0.28,0.28,0,0,0,0,2.82,1.41,0.28,0,0,0,1.13,0,0,0,0
21Day,0,0,0,1.11,1.11,0,0,0,0,0,0,0,0.37,0.74,0.74,0,0,0,0,1.48,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0.1,0.42,0.42,7.59,0.52,0.31,0.62,1.35,8.53,1.87,3.22,0.94,1.25,1.98,1.25,0.31,0,0.52,0.52,0.21,0.21,0.31,0.21,1.25,5.51,0.21,0.1,0.42,337.22,1.46
22Month,0,0,0,0.41,0,0,0,0.14,0.68,0.27,0.27,0.14,0,0.14,0,0,0.14,0,0,0,0,0.27,0,0,2.73,0,0,0,0.68,0
