stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,10.71,1.13,0,0,0,0,0.28,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,1.11,1.11,0,0,0,0,0,0.37,0,0,0,19.61,1.11,0,0.37,0,0,0.74,1.11,0,0,0,0,0,0.37,0,0,0
3Month,0,2.39,4.47,0,0,0.31,0.1,0,1.87,0.31,0,0.83,19.24,0.42,0.1,0.21,0,0.21,0.1,0,0,0.1,0,0.31,0.42,0,0.1,0.1,0.21
22Month,0.55,7.11,6.83,0.14,0.27,1.91,0.55,0.68,3.83,0.27,0.14,1.91,8.34,0,0.82,0.41,0.27,0,0,0,0.14,0.14,0,0.14,0.41,0,0,0,0
