stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,3,33,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.85,0.28,0.28,0,0,0,0,0,0,0.28,0,0,1.97,0.56,0,0.28,12.12,6.2,0,0.56,0,0,0,0.28,0,0
21Day,1.48,0.37,0,2.22,1.11,0.74,0,0,0,0.74,0,0,0.37,1.48,0.37,4.07,0,0,0,4.44,4.07,0,1.11,0.37,0,0.37,0.74,0,0
3Month,0,0,0.1,0.42,0,0,0.31,0,0,0.31,0.1,0.31,0,0.21,0,0,0,0.1,0,0,0,0,0,0,0.62,0,0,0.1,0
22Month,0,0,0,0,0,0,0.55,0.14,0,1.91,0.14,0.82,0,0.14,0.14,0.68,0.14,0,0,0,0,0.14,0,0,0.41,0.14,0,0,0.27
