stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,7.33,1.41,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0,0.74,0.37,0,0,0,0,0,0,0.37,0.37,0,0,5.55,0,0,1.11,6.66,0.37,0,1.85,0,0,0,0,0,0,0
3Month,0,0.31,1.25,0,0.1,0,0.21,0.94,12.17,0.1,0,0.62,0.52,0.21,2.6,0.1,0,0.31,0.21,0.21,0.1,0,0.21,1.25,0.1,0.62,0.94,0.21,0.21
22Month,0,0.14,0.41,0,0,0.14,0,1.5,2.46,0,0,0,0,0,0.27,0,0.14,0,0.27,0.14,0.27,0,0,1.09,0.14,0,0,0,0
