stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0.56,0.56,0,0,5.36,0.28,0,0,0.28,0,0
21Day,0,0,0,1.11,0.37,0.37,0,0,0,0.37,0,0.37,0,0,0.37,5.18,0,0,0,2.22,0,0,0,2.96,0,0,0,0,0,0.37
3Month,0,0.73,0,1.04,0,0,0.1,0.42,0.1,1.46,0.52,0.21,0.42,0.83,0.94,8.01,0.21,0.52,0.31,0.1,0,0.21,0.21,1.14,0.21,1.25,0.31,0,0.62,1.04
22Month,0,0.41,0.14,0.41,0,0,0,0.41,0.55,4.65,0.27,0.27,0.82,0,0.41,2.05,0.14,0.27,0,0.14,0,0.14,0,0.27,0,0.14,0.27,0,0,0.41
