stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
72hpf,0.56,0,0,1.69,0,0.28,0,0.28,49.61,1.69,0.28,0.56,0,0.56,0
21Day,0,0.37,0.74,0,0,0,0.37,0.37,18.87,1.48,0,0.37,0.37,1.85,0.37
3Month,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0
