stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,3.95,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0
3Month,0.1,0,3.22,0.31,0,0,1.04,0.21,0.1,0.42,1.98,0.1,1.56,0.73,0.1,0,0,0.1,0.1,0,0.1,0.31
22Month,0.14,0.14,0.27,0,0.27,0.27,1.37,0,0.14,0.55,0.41,0.27,0.55,0,0,0,0,0,0,0.27,0,0.14
