stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0.74,0,0,0,0,0
3Month,1.35,0.21,0.21,0.52,0.1,0.31,0.42,0.31,0.1,0.1,0.1,0.31
22Month,0.27,0,0.14,0.68,0,0.27,0,0,0.14,0,0,0
