stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.56,0.28,0,0,3.38,0,0,0,0,0,0
21Day,0,1.48,0,0,0,0,0.74,0,0,5.55,0,0.74,0.37,1.85,0,0,0.37,0,0,0
3Month,0.21,0.62,0.31,0,0.73,2.18,0.52,0.1,0.21,1.66,0.62,0.62,0.21,0,0,0.1,0,0.73,0.1,0.42
22Month,0,0,0,0,1.37,1.23,0.55,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0.14
