stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,2.25,0.28,0.85,0,0,0,0,0,0,0,0,0,2.54,0,2.54,0,0,0,114.99,6.76,0.28,1.69,2.54,0.28,0,1.41,0,0.28,0,0,0
21Day,0,0,5.92,0,1.11,0.37,0,0.37,0,0,0,0,0.37,0,1.85,0.37,3.7,0,0,0.37,44.4,1.85,0.37,8.14,0.74,0.74,0,0,0.74,0,0,0,0.74
3Month,0,0,1.04,0,0,0,0.21,0.21,0,1.04,0.42,0,0.1,0.62,1.66,0.1,0.62,0.31,0,0.1,7.49,0.21,0.62,34.85,0,0.1,0.31,0,0,0,0.21,0.1,0.1
22Month,0,0.27,0.41,0,0,0,0,0.41,0.14,2.6,0,0.14,0.41,0.55,0.41,0.68,0.41,0,0.14,0,3.01,0.14,1.64,63.68,0,0.14,0,0.14,0,0,0,0,0.27
