stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,7.4
3Month,0,0.21,0.1,0.62,0.1,0,0.31,0,0.73,0.42,0.1,0.31,0.62,2.08,0.73,0.42,0.1,0.1,0,0,1.56,0.1,15.6
22Month,0,0,0,0.14,0,0.14,0.55,0.14,0.68,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0.27,0,6.42
