stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0.85,1.13,0,0,0,0,0,0.28,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,0,3.33,0,0,0,0,0,0,0,0,0.37,1.11,0,0.74,0,0.37,0,0,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0.1,0.1,0.31,12.38,0.1,0.1,1.46,0.21,0,1.25,0.31,8.43,1.04,1.98,0.21,0.62,0.1,0.73,0.94,0.21,0,0.42,0.1,0,0.31,3.64,0.1,0,0.62,5.82,0.21
22Month,0,0,0.68,2.6,0,0,0.82,0.27,0.41,5.33,0.14,4.1,0.27,0.41,0.41,0.27,0,0.55,0,0,0,0.68,0,0,0,0.27,0.14,0,0.14,0,0.27
