stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,1,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0.56,0,0.28,0,0
21Day,0,0.37,0,0.74,1.11,0,0,0,0
3Month,0.1,2.18,0.1,0,0,0,0,0.1,0.1
22Month,0.14,5.33,0,0,0,0,0,0,0
