stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,14,0,0,0,0,0,0,0
72hpf,0.28,0.56,1.41,0,0.28,0,0,0,0,0,0,0,0,1.41,3.66,0,1.97,0,0,2.25,5.07,0,0.56,0,0,0,0,0
21Day,0.74,0,5.55,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,1.85,1.85,2.59,0,0.37,1.85,2.96,0,1.48,0.37,0,0,0,0
3Month,0,0,5.62,0,0,0,0.1,0.94,0,1.77,1.14,0,0.94,0.21,0.83,1.46,0.73,0.1,0.31,0.1,0.1,0.1,0,0.21,4.16,0.21,3.33,0.1
22Month,0,0,0.82,0,0,0.14,0.14,0.14,0.27,2.6,1.23,0.14,0.27,0,0.55,1.5,0.27,0,0,0,0.14,0,0,0,0,0,0,0
