stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0.37,0,0,7.77,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0.37
3Month,0.21,0.21,0.21,2.6,0,0.1,0.52,0.1,48.99,0.52,1.04,0.21,0.52,0.1,2.5,0,0.1,0.21,0.73,0.1,0.31,0.1
22Month,0.27,0.14,0,1.64,0.14,0.14,0.68,0,37.44,0,0.14,0,0.55,0.27,1.23,0.55,0,0,0.14,0.14,0,0.41
