stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,91,0,2,0,0,0,0,0,0,0
72hpf,1.97,0.28,2.25,0.28,0.28,0,0,0,0,0,0,0,0.56,0.28,0,9.3,0,0,0.85,3.38,8.74,0,8.74,0,0,6.76,0.28,0,0,0
21Day,1.48,0.37,3.7,0.74,0.37,0,0,0,0,0,0,0,0,0.37,0,6.66,0,0,2.22,1.11,1.85,0,0,0.37,0,3.7,0.37,0,0,0
3Month,0.1,0,1.98,0,0,0,0,0.21,0,0.73,0.21,0.42,0.1,1.56,0.21,0.31,0.1,0,0,0,0,0.1,0,0.1,0.21,0,0,1.04,0.1,0.1
22Month,0,0,0,0,0,0.14,0.14,0.27,0.14,3.14,0,0.41,0,0,0.41,0.41,0,0.14,0,0,0.14,0,0,0,0,0,0,0.14,0,0
