stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,14,1,1,0,2,0,0,0,0,0
72hpf,1.13,0.28,2.54,1.41,0.28,0,0,0,0.28,130.5,0,2.25,12.68,6.2,0.28,0.85,0,0.56,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37
3Month,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0
22Month,0,0,0,0,0.27,0.14,0.14,0,0,0,0,0,0,0,0,0,0.27,0,0
