stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,10,0,0,0,3,1,5,12,0,0,4,111,2,0,0,0,0,0,0,0,0,2,0,0
72hpf,1.41,0,0.28,1.69,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,6.48,7.33,0.56,0,0,0.85,0,0,0.28,2.82,2.25,0.56,0,0
21Day,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,1.85,0,1.48,2.59,0.37,0,0,0,0.37,0.37,0.37,4.44,1.11,0.74,0,0
3Month,0,0.31,4.37,0.42,0,0.1,0,0.31,0,2.39,0.62,1.04,0.21,0.62,0.73,0.21,3.12,0.31,0.21,0,3.12,0.1,0,0.1,0.42,6.35,0,0.1,0,0.21,86.75,1.35
22Month,0,0,1.09,0,0,0,0.27,0.27,0,1.64,0.14,0.14,0,0,0.55,0.68,1.37,0,0.27,0,1.64,0,0.27,0,0,3.83,0.14,5.74,0,0.14,0.27,0.14
