stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,1,2,0,0,1,4,0,4,32,3
72hpf,0,0,0.28,0,1.13,0.28,0.28,0.28,0.56,0.28
21Day,0,1.11,0,0.37,0.37,0,0,0.37,1.85,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0
