stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0,0,0,0,6,49,0,0,1,0,0,0,0,0,0,0,0
72hpf,6.2,0.28,0,3.38,1.13,2.25,0,0,0,0,0,0,0,0,0,0.56,1.41,0,15.78,0,0.28,0.28,0,10.43,14.37,0,0,15.78,0,0,1.69,0,3.38,0,0,0
21Day,4.81,0,0,1.85,0.37,2.59,0,0.37,0,0,1.11,0.37,0,0.37,0.37,0,1.48,0,11.47,0,0,0.37,0,5.92,6.66,0.74,0,4.44,0,0,0.37,0,0.37,0,0,0
3Month,0.1,0,0.31,10.51,0,0,0,0,0.31,0.21,0.62,1.66,0.52,0,0.94,0,1.98,0.73,2.29,0.52,0,0.1,0.1,0.31,0.31,0,0,0.31,0.1,9.15,0.31,0,0.52,0.21,4.58,0.1
22Month,0,0.27,0.27,1.78,0,0,0.14,0,0.14,0.14,21.73,7.52,0.41,0,0.27,0,0.41,0.27,0.68,0.14,0,0.41,0,0.14,0,0.14,0.14,0,0.27,0.55,1.64,0.14,0,0,0,0.27
