stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,1.41,0.28,0,0.28,0,0,0,0,0,0.28,0,0,5.07,0,0,0,0.85,0.28,0,0.28,0,0,0,0,0.28
21Day,0.37,0,6.66,0,0,0.37,0,0,0,0,0,3.33,0,0,4.07,0.74,2.22,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.21,4.68,0,0,0,0.1,0.52,0,0.62,0.1,0.42,0.62,0.31,1.77,0.83,0.31,0.31,0,0,0.1,0,0,0.62,0,0.1,10.09
22Month,0,0,0.55,0,0.14,0.14,0,0.27,0.14,1.78,0,0.55,0.55,0,0.14,0.82,0.41,0.14,0,0,0,0,0.14,0.27,0.14,0,3.69
