stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21Day,0.37,0,0,2.96,0,0,0,0,0,0,0,0,0,2.22,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.21,6.66,0.1,0.83,0.83,0,1.25,0.42,0.1,9.26,0.21,1.35,0.52,0.52,0.1,0,0,0.21,0,0.1,0.1,0.52,0.52,0.73
22Month,0,0.27,1.23,1.64,0,0.55,0,0.14,7.11,0,0.27,13.53,0,0.68,0.27,0.68,0,0.41,0.41,0,0,0.14,0.14,0.27,0.14,0.41
