stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.56,0.28,0,0,0,0,0,0.56,0,0,0.85,0.28,1.13,0,0,0,0,27.9,1.13,0.85,0.28,0,0.28,0,0,0.28,0,0.28,0,0.28
21Day,0.37,0,0.74,0.37,0,0,0,0,0,0.37,4.81,0.37,0,0,0.74,3.33,0,0,0.74,0,13.69,0.37,0.37,0,0,0.74,1.48,0,0.37,3.33,0.37,0,5.92
3Month,0.1,0.73,1.56,0,0.42,0.1,1.56,0,2.08,0.94,0.1,0.52,0,0.21,2.5,3.33,0.52,0,0.62,0.1,0,0.1,0.31,0,0,0,0.52,1.56,0,0,0,0.73,6.45
22Month,0,0.41,0.27,0,0.27,0,0.68,0.14,5.19,0.96,0.96,0.68,0.14,0.41,0.96,1.5,0.27,0.27,0.14,0,0.14,0.14,0.41,0,0.27,0,0.14,0,0.14,0,0,0,3.01
