stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,1,0,0,1,0,9,0,0
72hpf,0,0,0,1.13,0.56,0,0.28,0.28
21Day,0,0,0.37,0.37,0,0,1.11,0
3Month,0,0.1,0,0.1,0,0,0,0
