stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0.28,0,0,0,0,0,0
21Day,1.11,1.48,0.37,0.37,0.74,0,0,0,0,0,0.74,0.37,3.7,0.37,1.85,0,0,1.48,0,0.37,0,0
3Month,0,0.21,0.1,0,0,0.1,0,0.31,0.1,0.1,0.21,0.21,0.1,0.1,0,0,0,0,0.21,0,0.1,0.1
22Month,0,0.27,0,0,0,0,0.14,1.5,0,0.14,0,0.27,0.14,0,0,0,0.14,0,0,0,0,0
