stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.28,1.41,0,0.56,0,0,5.36,0.85,0,0,1.69,0,0,0,0,0.28,0,0,0
21Day,1.11,0,0,5.55,1.48,0.74,0,0,0,0.74,0,0,0.37,1.11,0.37,1.11,0,0,4.44,1.11,0,0,0,0,0.37,0.37,1.11,0.37,0,0,0.37
3Month,0,0.42,0.1,2.29,0,0,0.83,0.21,0,3.95,0.21,2.81,0.31,0.94,0.42,0.42,0.42,0.42,0.21,0,0.21,0.1,0,0.94,0,0,0,0,0.21,0.42,0.31
22Month,0,0.14,0,0.55,0,0,0.14,0.14,0.14,6.15,0,1.91,0,0.14,0.27,0.14,0.14,0,0.14,0,0,0.27,0,0.14,0.14,0.14,0,0,0,0.14,0
