stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,20,13,55,3,1,217,1,9,29,24,87,34,579,4,0,4
72hpf,0.85,0,11.27,0,0.56,0.56,0,0.56,2.54,0.28,0.85,6.48,3.95,0.85,0.85,0
