stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0,1.13,0,0,0,0,1.69,0.28,0,0,1.13,0,0,0,0.28,0,0,0,0,0
21Day,29.97,0.37,1.11,1.85,1.48,0,0,0,0,0,0,0,0.74,26.27,0,1.48,0.37,3.33,0,0.37,0.37,0,1.48,1.48,0.74,0,0.74,1.48,0,0.37,0,1.11,0.37,0,0,0.37
3Month,0.31,0.62,0.73,14.67,0,0.42,0.1,2.29,0.94,0,3.54,1.56,0.31,155.3,0.21,1.14,0.83,1.56,0.42,0,0.1,0,0.31,0,0,0.21,0,1.14,0.1,2.7,0.1,0,0,0.31,0.52,1.46
22Month,0,0.14,0.68,0.96,0,0.14,0,1.5,0.14,0.55,4.65,0,0.27,80.9,0,0,0.27,0.96,0.14,0.41,0.27,0.14,0,0.27,0.14,0,0,0.27,0,0,0.14,0.14,0,0,0,0
