stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,5,6,14,0,0,0,1,2,139,0,1,0,0,0,1,0,0,0
72hpf,1.13,0.28,0,1.97,0.28,0.28,0,0.28,0,0,0,0,0,0.28,0,0.56,1.97,0,3.38,0,0,0.28,0,7.61,17.47,0,0.56,0.28,0,1.13,0,0,0,0
21Day,1.11,0,0,1.85,0,5.55,0,0.74,0,0,0,0,0,1.85,0,0,0,0,0.74,0,0,0.37,0.37,1.85,4.44,0,0.74,0,0,0,0,0,0,0
3Month,0.1,0.31,0,5.1,0,0,0.1,0.42,0.1,3.02,0,3.22,1.98,0.73,1.25,0.21,0.1,1.46,1.98,0.21,0,0.1,0.31,0.52,0.31,0.1,0,0.52,30.58,0.21,0,0.42,18.72,4.99
22Month,0,0.14,0.27,0.68,0,0,0.41,0.14,0,3.96,0.14,4.92,0.82,2.46,2.05,0,0,3.01,0.27,0,0.55,0.14,0,0,0.27,0.14,0,0,1.37,0,0,0,0,0.68
