stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,4.44
3Month,0,0.52,3.74,0.73,0.52,1.04,2.18,1.04,0.1,1.87,1.56,2.18,2.08,0.21,0.1,0,0.31,0.42,0.1,0.1,0,0,0.1,0.31,1.04,0,0.1,0.52,38.8
22Month,0.14,0.82,1.64,0.14,0.27,1.64,3.69,0.41,1.91,1.09,0.27,27.74,0.68,0.27,0.14,0.14,0,0,0,0.96,0.27,0.14,0,0.14,0.41,0,0.14,0,14.35
