stage,Cardiomyocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,1,3
72hpf,1.41,0.28,0,0,0.56
21Day,4.81,0.74,0.37,0,0.74
