stage,Cardiomyocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,1,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0
21Day,0,0.37,0,0,0,0.74,0,0,0,0.37,0,0.74,0,2.22,14.43,0.74
3Month,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0,0,0,0
