stage,Endothelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,3,2,2,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.85,3.1,0,0.56,0,0,0.28,0
21Day,0,0,0,0,0,0.74,4.44,0.37,1.11,0.37,0,0,0
3Month,0,0,0.21,0.21,0.1,0.21,0.21,0,0,0,0.1,0,0
22Month,0,0,0.27,0,0,0,0,0,0,0,0,0,0.27
