stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0.28,2.25,0.85,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0.37,1.48,0.37,0.37,0,1.85,0,0,0,0,0.37,0.37,0.37,0.37,0,0,0.37,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0,0.42,3.22,0.1,0,0.1,0,0.42,2.7,0,7.59,4.37,0,1.46,0.42,1.25,1.46,1.25,0.1,0.1,0.1,0.42,0.31,0,0.62,0.21,0,0.42,0,1.14,0,0.73,0.42,1.04
22Month,0,0.41,1.5,0,0,0.27,0.14,0.68,4.1,2.46,17.22,3.83,0.27,3.69,0.27,1.09,2.32,1.5,0,0.55,0,0,0,0,0.27,0.41,0,0,0.14,0.55,0.41,0.14,0,0.68
