stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0.56,1.13,0.28,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,15.54,0.37,0,0,0,0,0,0,0,0.37,0,0,6.66,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37
3Month,0.1,0.73,0.21,88.31,0,0.42,0,0.62,0.73,0.1,3.74,0.73,0.1,1.87,3.74,21.95,1.25,9.15,6.24,0.21,0.42,0,0,0.1,0.52,0.73,0.1,0,0.73,0.52,1.25
22Month,0,0.82,0,14.76,0,0.14,0.14,0.14,0.55,0.14,9.16,0.68,0.27,0.41,0.27,4.37,1.91,5.47,0.68,0,0.14,0.14,0.14,0,0,0.82,0,0,0,0,0
