stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0.56,0,0,2.54,0,0,0,0,0.28,0
21Day,0.74,0,0,0,0,0,0.37,0.74,0,0.37,1.11,0,0,0.37
3Month,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0
22Month,0,0.14,0.27,1.5,0,0.14,0,0,0,0,0,0,0,0
