stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0.28,0.28,0.85,0,0,0,24.24,0.85,0,0,0,0,1.13,0.28,0.28,0,0
21Day,0,0.37,0,0,0.74,0,0,0,0.37,0,0.74,0,0.37,0,9.62,0,0,0.37,0,0,1.48,2.59,0,0.37,0
3Month,0.94,0.1,0,0.1,1.98,0.21,0.1,0.31,0.52,0.1,0,0.1,0,0.31,0,0,0.42,0,0.21,0.31,0,0,0,0,0.1
22Month,0.14,0,0,0,1.23,0,0,0,0,0.14,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
