stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,10,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0.28,1.97,0.28,0.85,0,0,1.69,0.28,0,0,0,0.85,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0.1,0.83,0.1,0.1,0,1.56,0.31,0.73,0,1.35,0.62,0.52,0.31,0.21,0,0,0,0.1,0,0,0.21,17.27,0.21,0,0.21,4.68
22Month,0,0,0,0,0,0,0.14,2.73,0,0.82,0,0.27,0,0.27,0,0,0,0,0.27,0,0.14,0,0,12.16,0,0,0,0
