stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,14,5,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,1.69,0,0,0,0,0.56,0,0,0,0,0.28,5.07,8.17,0,1.41,0,5.36,0,0.28,1.41,1.97,0,0.28,0,1.69,0,0,0,0.28,0,0.28,0,0,0
21Day,0.74,0,0,7.03,1.85,0,0.74,0,1.11,0,4.81,0,1.11,11.1,0.74,4.07,2.59,2.96,0,0,0,0.37,2.59,0,1.85,0,0,1.11,1.85,0,0,0,0.74,0,0,0,0.37
3Month,0.31,0.73,1.56,14.56,0,1.25,0.1,1.87,30.58,0,212.3,20.18,0.42,185.46,2.39,3.12,5.41,4.06,1.04,0.1,1.14,3.33,0.21,0.31,5.2,0.62,0,0.52,3.33,0.21,2.6,0.1,0,0.21,0.83,1.04,1.46
22Month,0,1.09,0.96,1.91,0,0.41,0,2.46,19.81,0.27,119.43,3.96,1.23,97.98,0.14,0,2.19,2.19,0.14,1.78,0.14,0.14,0,0,1.64,0.27,0.14,0,0.41,0,1.37,0,0,0,0.14,0,0
