stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell
72hpf,0,0,0,0,0,0.28
3Month,0.1,0.1,0,0.1,0,0
22Month,0,0.14,0.27,0,0.14,0
