stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,4.79,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0.85,0,1.97,0,0.28,0,0.56,15.78,1.69,0,0,0,2.25,0.28,0.28,0.28,0.28,0,0,0,0
21Day,8.88,0.37,0.74,3.33,0,4.07,0,2.22,0,0,0,0,4.07,0.37,1.11,4.44,0.37,1.85,0,4.44,0,0,2.59,0.74,16.65,1.85,0.37,0,0,3.7,4.81,0.74,1.48,0,0.37,0,0,0.37
3Month,0.73,0.21,0.52,5.2,0.1,0,0.42,0.21,2.81,3.12,0,0,24.55,11.34,0.31,29.44,0.1,1.04,1.14,2.5,0.52,0.21,3.54,0.73,0.62,0.1,2.5,0.21,0,0.31,1.46,17.47,0.42,0.21,0,0.42,1.14,0.62
22Month,0.55,0.55,0.68,1.64,0,0,0.14,0.14,1.78,3.69,0.41,0,85.41,4.24,1.5,31.57,0.55,0.14,1.37,2.6,0,1.64,0.82,0.55,0.55,0,2.32,1.09,0.68,0.41,0.27,6.01,1.37,1.78,0,0.14,0,0.41
