stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,13,7,46,0,1,0,0,0,19,0,0,0,0,7,2,12,50,0,0,0,0,31,336,0,0,0,7,0,0,0,0,4,0,0,0
72hpf,0.85,0.28,1.97,2.25,0,0,0.28,0,0,0,0,1.13,0,0.85,1.97,0.56,7.61,0,0.56,0,0.28,14.09,20.01,0,0.28,0,1.13,0.28,0,1.69,0.56,0,0,0,0
21Day,0.37,0,2.96,13.69,4.44,0,0.74,0,0,0.37,0,2.22,0.37,0,0.37,0.37,2.22,0,0,0.74,0,3.7,7.03,0,0.37,0,1.85,1.11,0,0.37,0.37,0.74,0,0,0.74
3Month,0,0,1.35,0,0.62,0.1,1.77,0,0,10.92,0.83,0.73,1.35,0.1,0.1,1.46,0.73,0,0,0.52,0.21,0.1,0.21,0.21,0,0,0.1,0.42,1.46,0,0,0,0.31,0.94,1.14
22Month,0,0,0.14,0,0.14,0,2.32,0.14,0,2.46,0.96,0.14,1.5,0,0,1.5,0.27,0.41,0,0,0,0.14,0,0,0,0.14,0,0,0.41,0,0,0,0,0,0.27
