stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0.1,0.94,0.42,17.06,0.31,0.1,1.35,1.98,0,8.32,2.7,3.12,0.62,1.46,1.14,103.39,1.14,0.1,1.04,0.21,0.21,0,0.42,0,0.31,1.04,1.77,0.1,0.1,0,0.21,0.42,0.62,1.66
22Month,0,0,0,0.27,0.14,0,0.14,0.27,0,21.04,0,0.55,0,0.27,0.14,10.25,0,0.82,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0.14,0,0
